Programming language,Designed by,Appeared,Extension
PYTHON,Guido van Rossum,1991,.py
JAVA,James Gosling,1983,.java
C++,Bjarne Stroustrup,1997,.cpp
JAVASCRIPT,Brendan Eich,1995,.js
C#,Microsoft,2000,.cs




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































